Hedge,Type,Definition of Hedge Type,Hedge Definition,Hedge Example,Non-hedge Definition,Non-hedge Example,Stem,Probability
about,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),almost; approximately; near; on the verge of,There are about 10 million packages in transit right now.,regarding; near (as in 'he has a funny air about him'); other,We need to talk about Mark.,y,0.164285714
almost,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),very nearly all,The robbers took almost everything.,Other,Other,y,1
apparently,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),according to appearances or incomplete evidence,Apparently John had a doctor's appointment and that's why he couldn't make it.,Other,Other,y,1
appear,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to give the impression of being,The problem appears to be a bug in the software.,to come into sight; to be part of a stage performance,A bird I didn't recognize appeared in our yard on Sunday.,y,1
approximately,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),not perfectly accurate or correct,He will be there in approximately ten minutes.,to resemble,The tofu was meant to approximate turkey.,y,1
arguably,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),susceptible to debate or argument,Whether or not this is the best idea is arguable.,susceptible to being supported by a convincing argument,He is arguably the best player in the history of the team.,n,1
assume,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to take without evidence,I assumed this position was temporary.,to take on; to take over; to take upon oneself,I assumed this position upon his retirement.,y,1
basic,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),general,I have a basic understanding of this concept.,the essential facts or principles,Students learn the basics of business in this class.,n,0.666666667
basically,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),fundamentally,So basically you add up your R squareds and whatever's left is unexplained variability.,Other,Other,n,1
believe,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to think; to hold as an opinion; to believe something, I believe I met him at last year's picnic.,to believe in; to believe someone,I believe you.,y,0.769230769
completely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not to a total extent',She is not completely convinced of the team's strategy.,totally,He is completely wasted.,n,0
consider,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to regard as; to think/believe,I consider the failure to be intentional.,to reflect on; to pay attention to,We can consider the case based on this cause of action.,y,1
could,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express possibility,You could be right.,to have the ability to,I could touch my toes easily when I was younger.,y,0.355555556
estimate,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to form an opinion of; to provide a rough approximation,He estimated their number to be in the thousands.,a statement of approximate charge for work being done,The contractor submitted the estimate on Monday.,y,1
expect,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to suppose; to guess,I expect you're tired after that trip.,to anticipate; to require,We expect all participants will arrive on time.,y,0
fair,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),decent; moderate,She is a fair mark with a gun.,just; impartial,The judge was fair.,n,0.307692308
fairly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),moderately; somewhat,This judgment passed down fairly recently.,in a fair manner,The judge decided fairly.,n,1
feel,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to think,I felt it was uncalled for.,to sense/be affected by,I felt sick afterwards.,y,0.327272727
find,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to perceive,I found it curious that you were objective to it.,to locate,I found my keys under the couch.,y,0.59375
frequently,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),often; many times,John frequently stops by the candy shop to buy gummy worms.,Other,Other,n,1
general,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),basic,I have a general understanding of this concept.,army official,He is a five star general.,n,0.875
generally,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),for the most part,This is a generally accurate interpretation of the facts.,Other,Other,n,1
guess,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to form a theory; a conjecture,I guess they're not coming.,Other,Other,y,1
hear,hRel,imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement rather than committing to the proposition themselves,to reference information acquired by overhearing it somewhere,I heard that they're building a new school two blocks down.,the act of hearing,I hear the birds sing under my window every morning.,y,0.333333333
imagine,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to assume; to suppose,I imagine they'll be here soon.,to conjure with one's mind,He imagined a world without war.,y,0.6
know,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - meaning 'not sure',I don't know if that's a good idea.,if negated - meaning 'to not possess information'; if not negated - all meanings,I don't know her phone number.,y,0.401360544
largely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),to great extent; in great part,It is largely known that this university has a good reputation and an excellent track record.,Other,Other,n,1
like,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),similar to; approximately; when used as a discourse filler word; et cetera (e.g. 'and the like'),So in this case time off is like a mandatory benefit.,to feel attraction toward; to enjoy; to want; to approve of; such as; as if,They like bathtime as much as they like doing homework - not at all.,n,0.77
likely,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,He is likely to win the race.,promising or attractive,He is a likely mate.,n,0.916666667
may,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express possibility,That may be an effect of bioterrorism.,to express permission,The action may be brought at any time within two years.,n,0.971014493
maybe,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,Maybe he will actually win this year.,Other,Other,n,1
might,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express possibility,It might be a problem with the server.,to express advisability,You might just give a very short explanation of what it is.,n,0.85
most,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in the majority of instances,Most operations are successful.,greatest in quantity or degree,Jack had the most cherries out of everyone.,n,0.470588235
mostly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in the majority of instances,He mostly keeps to himself.,Other,Other,n,1
much,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not a lot',There isn't much going on in that part of town.,by a great amount,John is driving much faster than the speed limit.,n,0.465753425
nearly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),almost; with close approximation,The cat got nearly to the fence before we caught him.,closely,These two women are nearly related.,n,1
necessarily,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - meaning 'as a logical result',That is not necessarily the case.,inevitably,Taking care of puppies necessarily involves a lot of cleaning.,n,1
occasionally,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),at times,The mailman occasionally forgets to come to our house.,Other,Other,n,1
often,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),frequently,He often visits his parents on the weekends.,much,He visits his parents as often as he can.,n,1
partial,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),incomplete,They had partial success with this matter.,biased,The judge was partial to the defense.,n,1
partially,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in part; not totatlly,The project was partially completed on Sunday.,prejudiced,The cop was acting partially towards the young lady while cracking down on her companion.,n,1
perhaps,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,Perhaps he will actually win this year.,Other,Other,n,1
possible,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),something that may or may not be true,The decline of profits due to the negative reviews of the product is possible.,something that has the ability to occur,The transportation of humans to Mars is possible.,n,0.315789474
possibly,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),perhaps; maybe,He is possibly the most famous mayor in the state.,Other,Other,n,1
